"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.048828125E3,2.235063453E0
1.050292969E3,1.629427072E0
1.051757812E3,1.011297337E0
1.053222656E3,9.669956546E-1
1.054687500E3,1.184545806E0
1.056152344E3,1.340979998E0
1.057617188E3,2.702410525E0
1.059082031E3,1.146123147E0
1.060546875E3,1.168285217E0
1.062011719E3,2.231473099E0
1.063476562E3,1.656751175E0
1.064941406E3,9.378095987E-1
1.066406250E3,1.759512208E0
1.067871094E3,1.767229317E0
1.069335938E3,1.540525883E0
1.070800781E3,1.765093012E0
1.072265625E3,1.581437311E0
1.073730469E3,1.845263007E-1
1.075195312E3,3.120998082E0
1.076660156E3,4.109515230E0
1.078125000E3,3.404490185E0
1.079589844E3,1.319049131E0
1.081054688E3,4.447517085E0
1.082519531E3,2.500390877E0
1.083984375E3,2.814567890E0
1.085449219E3,1.610204616E-1
1.086914062E3,2.073102762E0
1.088378906E3,9.115131562E0
1.089843750E3,9.373920995E0
1.091308594E3,7.259820441E0
1.092773438E3,7.761235880E0
1.094238281E3,2.187222221E0
1.095703125E3,2.423184836E0
1.097167969E3,1.965979190E0
1.098632812E3,1.178387957E0
1.100097656E3,3.901063924E-1
1.101562500E3,4.685802867E0
1.103027344E3,4.955109474E0
1.104492188E3,1.034017186E0
1.105957031E3,9.218238016E-1
1.107421875E3,6.967006484E-1
1.108886719E3,3.737975977E-1
1.110351562E3,1.976545390E0
1.111816406E3,8.155598793E-1
1.113281250E3,8.895918594E-1
1.114746094E3,1.843062392E0
1.116210938E3,1.948338989E0
1.117675781E3,2.742026334E0
1.119140625E3,1.706048093E0
1.120605469E3,1.047237370E0
1.122070312E3,4.533942651E0
1.123535156E3,1.096920517E0
1.125000000E3,1.212694417E0
1.126464844E3,1.402585542E0
1.127929688E3,1.545585669E0
1.129394531E3,5.254417428E-1
1.130859375E3,2.385464167E0
1.132324219E3,2.618710224E0
1.133789062E3,1.907081908E0
1.135253906E3,6.615686017E-1
1.136718750E3,7.022866474E-1
1.138183594E3,2.362828225E-1
1.139648438E3,3.576765335E0
1.141113281E3,1.425511343E0
1.142578125E3,2.172613033E-1
1.144042969E3,1.104680522E0
1.145507812E3,5.837658794E-1
1.146972656E3,2.413042451E0
1.148437500E3,2.736131616E0
1.149902344E3,2.643590699E0
1.151367188E3,3.477696928E0
1.152832031E3,8.671240627E-1
1.154296875E3,1.838770565E0
1.155761719E3,1.787440580E0
1.157226562E3,8.415329885E-1
1.158691406E3,2.797036014E0
1.160156250E3,3.658748778E-1
1.161621094E3,1.959110193E0
1.163085938E3,1.303532695E0
1.164550781E3,1.207068505E0
1.166015625E3,2.256377314E0
1.167480469E3,5.450015286E-1
1.168945312E3,6.479596725E-2
1.170410156E3,2.580315570E0
1.171875000E3,7.289117383E-1
1.173339844E3,4.063509712E0
1.174804688E3,4.313028546E0
1.176269531E3,1.304603638E0
1.177734375E3,1.514405783E0
1.179199219E3,1.051656010E0
1.180664062E3,6.321421514E-1
1.182128906E3,7.794927974E-1
1.183593750E3,3.603773163E0
1.185058594E3,3.877743170E0
1.186523438E3,3.505954595E0
1.187988281E3,2.752335857E0
1.189453125E3,2.946517796E0
1.190917969E3,3.020182048E0
1.192382812E3,2.304607030E0
1.193847656E3,3.967920449E0
1.195312500E3,3.556450883E0
1.196777344E3,7.498729679E-1
1.198242188E3,3.541437573E0
1.199707031E3,1.576961184E0
1.201171875E3,2.989614074E0
1.202636719E3,3.987275741E0
1.204101562E3,2.610753410E0
1.205566406E3,2.979573708E0
1.207031250E3,4.135206996E0
1.208496094E3,3.770347297E0
1.209960938E3,2.599838703E0
1.211425781E3,2.026746572E0
1.212890625E3,2.137243072E0
1.214355469E3,2.316285918E0
1.215820312E3,1.914830661E0
1.217285156E3,2.821051452E0
1.218750000E3,3.546022067E0
1.220214844E3,8.893341966E-1
1.221679688E3,1.179397612E0
1.223144531E3,2.672983826E0
1.224609375E3,4.478503698E0
1.226074219E3,3.215915706E0
1.227539062E3,1.517059588E0
1.229003906E3,1.663230913E0
1.230468750E3,1.330228061E0
1.231933594E3,2.779430305E0
1.233398438E3,1.061754399E0
1.234863281E3,1.901606514E0
1.236328125E3,2.789087724E0
1.237792969E3,3.925418226E0
1.239257812E3,3.301049729E0
1.240722656E3,2.360122541E0
1.242187500E3,3.413767953E0
1.243652344E3,2.814970232E0
1.245117188E3,2.196806039E0
1.246582031E3,2.731013983E0
1.248046875E3,2.367516695E0
1.249511719E3,1.908781286E0
1.250976562E3,2.821528168E0
1.252441406E3,1.890697783E0
1.253906250E3,2.047001861E0
1.255371094E3,1.331660878E0
1.256835938E3,2.761611278E0
1.258300781E3,4.227514341E0
1.259765625E3,1.633449146E0
1.261230469E3,1.684602785E0
1.262695312E3,2.288962718E0
1.264160156E3,6.682070987E0
