"Frequency (Hz)","Absolute Amplitude (a.u.)"
5.493164062E2,3.424512647E0
5.507812500E2,2.533768197E0
5.522460938E2,1.775857263E1
5.537109375E2,1.661119263E1
5.551757812E2,3.735454382E1
5.566406250E2,4.453730232E0
5.581054688E2,1.014505961E1
5.595703125E2,2.375861617E1
5.610351562E2,1.086689793E1
5.625000000E2,1.813279601E1
5.639648438E2,3.603834874E1
5.654296875E2,2.898650467E1
5.668945312E2,1.962254845E1
5.683593750E2,3.231740035E1
5.698242188E2,2.425940519E1
5.712890625E2,2.482201955E1
5.727539062E2,2.152303389E1
5.742187500E2,3.372680736E1
5.756835938E2,1.498352524E1
5.771484375E2,1.220600639E1
5.786132812E2,1.805826950E1
5.800781250E2,6.039047368E0
5.815429688E2,1.018346252E1
5.830078125E2,1.707505486E1
5.844726562E2,1.221982820E1
5.859375000E2,3.411126834E0
5.874023438E2,2.183817284E1
5.888671875E2,1.551510027E1
5.903320312E2,3.398116382E0
5.917968750E2,2.681665985E1
5.932617188E2,4.341955465E0
5.947265625E2,9.626651094E0
5.961914062E2,9.167041163E0
5.976562500E2,5.404165418E0
5.991210938E2,1.548361841E1
6.005859375E2,1.524345979E1
6.020507812E2,2.306163932E1
6.035156250E2,1.368265992E1
6.049804688E2,3.976082880E1
6.064453125E2,6.962805233E0
6.079101562E2,1.152692189E1
6.093750000E2,1.881691365E1
6.108398438E2,1.271174672E1
6.123046875E2,3.450667806E1
6.137695312E2,3.753181813E1
6.152343750E2,2.481374941E1
6.166992188E2,1.825281698E1
6.181640625E2,1.926434912E1
6.196289062E2,1.890744935E0
6.210937500E2,1.983001475E1
6.225585938E2,1.844043534E1
6.240234375E2,1.820805266E1
6.254882812E2,1.295653536E1
6.269531250E2,2.593296830E1
6.284179688E2,2.587219961E1
6.298828125E2,2.540200863E1
6.313476562E2,3.883558268E0
6.328125000E2,1.444144770E1
6.342773438E2,1.101350336E1
6.357421875E2,7.238734370E0
6.372070312E2,2.171053073E1
6.386718750E2,2.578996621E1
6.401367188E2,2.373764383E1
6.416015625E2,1.636761225E1
6.430664062E2,3.239930153E0
6.445312500E2,4.625001999E0
6.459960938E2,4.941481968E0
6.474609375E2,5.553772917E0
6.489257812E2,1.511477208E1
6.503906250E2,6.434345469E0
6.518554688E2,6.532575709E0
6.533203125E2,1.054008095E1
6.547851562E2,1.640497848E1
6.562500000E2,2.577981996E1
6.577148438E2,2.909897796E1
6.591796875E2,1.686367894E1
6.606445312E2,2.356083147E1
6.621093750E2,1.632684149E1
6.635742188E2,2.187726293E1
6.650390625E2,1.284831516E1
6.665039062E2,2.012603158E1
6.679687500E2,2.802818086E1
6.694335938E2,1.605165269E1
6.708984375E2,1.310924999E1
6.723632812E2,1.767186593E1
6.738281250E2,2.121539875E1
6.752929688E2,3.355394667E1
6.767578125E2,2.843044862E1
6.782226562E2,2.708056666E1
6.796875000E2,3.359372757E1
6.811523438E2,1.134864431E1
6.826171875E2,1.530219779E1
6.840820312E2,1.625910464E1
6.855468750E2,2.459960366E1
6.870117188E2,3.300849762E0
6.884765625E2,1.269257642E1
6.899414062E2,6.068144381E0
6.914062500E2,1.808756317E1
6.928710938E2,6.474478349E0
6.943359375E2,7.229047878E0
6.958007812E2,7.926127726E0
6.972656250E2,7.234879774E0
6.987304688E2,1.205615203E1
7.001953125E2,5.530684853E0
7.016601562E2,4.545128410E0
7.031250000E2,6.673678042E0
7.045898438E2,2.564776087E0
7.060546875E2,1.290578509E1
7.075195312E2,6.765418940E0
7.089843750E2,1.901742021E1
7.104492188E2,1.205218626E1
7.119140625E2,2.938667184E0
7.133789062E2,5.175266108E0
7.148437500E2,1.451515695E1
7.163085938E2,6.405027285E0
7.177734375E2,2.362098292E0
7.192382812E2,6.703033758E0
7.207031250E2,1.851106215E1
7.221679688E2,1.414875285E1
7.236328125E2,1.605049614E1
7.250976562E2,1.559968962E1
7.265625000E2,1.225074718E1
7.280273438E2,7.270974756E0
7.294921875E2,4.707504638E0
7.309570312E2,8.577709681E0
7.324218750E2,5.555150205E0
7.338867188E2,4.066597352E0
7.353515625E2,5.112321462E0
7.368164062E2,5.563292711E0
7.382812500E2,4.941170215E0
7.397460938E2,2.574960612E0
7.412109375E2,4.538161415E0
7.426757812E2,1.172535814E1
7.441406250E2,1.753265529E0
7.456054688E2,6.880211980E0
7.470703125E2,4.919378892E0
7.485351562E2,4.677447254E0
7.500000000E2,3.962397717E0
7.514648438E2,9.365269190E0
7.529296875E2,1.733890733E0
7.543945312E2,2.606928795E0
7.558593750E2,6.936579248E0
7.573242188E2,5.728892987E0
7.587890625E2,8.897475266E0
7.602539062E2,1.054209937E1
7.617187500E2,9.691454563E-1
7.631835938E2,8.396019481E0
7.646484375E2,5.103822775E0
7.661132812E2,1.050305785E1
7.675781250E2,3.256168451E0
7.690429688E2,4.173666096E0
7.705078125E2,7.827112672E0
7.719726562E2,4.284055380E0
7.734375000E2,1.668783085E0
7.749023438E2,3.447396239E0
7.763671875E2,1.332495627E1
7.778320312E2,5.385263603E0
7.792968750E2,4.075217066E0
7.807617188E2,5.203707847E0
7.822265625E2,8.782326159E0
7.836914062E2,3.179134124E0
7.851562500E2,2.444100441E0
7.866210938E2,5.163316014E0
7.880859375E2,3.451513751E0
7.895507812E2,2.945816117E0
7.910156250E2,9.555028624E0
7.924804688E2,1.463349625E1
7.939453125E2,2.341884315E0
7.954101562E2,4.959082066E0
7.968750000E2,4.420539163E0
7.983398438E2,4.434421615E0
7.998046875E2,6.536784431E0
8.012695312E2,2.212607057E0
8.027343750E2,5.569260891E0
8.041992188E2,6.125089603E0
8.056640625E2,1.341991595E0
8.071289062E2,3.289425116E0
8.085937500E2,1.284471117E0
8.100585938E2,2.954585736E0
8.115234375E2,5.258375712E0
8.129882812E2,5.049019883E0
8.144531250E2,4.029250943E0
8.159179688E2,4.949430455E0
8.173828125E2,7.200050493E0
8.188476562E2,4.544191797E0
8.203125000E2,7.218494837E0
8.217773438E2,5.805273092E0
8.232421875E2,1.917752991E0
8.247070312E2,1.557999015E0
8.261718750E2,2.800658908E0
8.276367188E2,4.578912400E0
8.291015625E2,3.309235372E0
8.305664062E2,5.678589673E0
